gene_id	SYMBOL	GENENAME	GENETYPE	SRR10315781_TPM	SRR10315782_TPM
ENSG00000000003	TSPAN6	tetraspanin 6	protein-coding	20.04	21.09
ENSG00000000005	TNMD	tenomodulin	protein-coding	0	0
ENSG00000000419	DPM1	dolichyl-phosphate mannosyltransferase subunit 1, catalytic	protein-coding	82.01	84.36
ENSG00000000457	SCYL3	SCY1 like pseudokinase 3	protein-coding	4.05	4.06
ENSG00000000460	FIRRM	FIGNL1 interacting regulator of recombination and mitosis	protein-coding	20.04	18.66
ENSG00000000938	FGR	FGR proto-oncogene, Src family tyrosine kinase	protein-coding	0.09	0.07
ENSG00000000971	CFH	complement factor H	protein-coding	13.05	14.65
ENSG00000001036	FUCA2	alpha-L-fucosidase 2	protein-coding	89.77	89.72
ENSG00000001084	GCLC	glutamate-cysteine ligase catalytic subunit	protein-coding	11.6	12.82
ENSG00000001167	NFYA	nuclear transcription factor Y subunit alpha	protein-coding	7.57	8.28
ENSG00000001460	STPG1	sperm tail PG-rich repeat containing 1	protein-coding	3.34	2.76
ENSG00000001461	NIPAL3	NIPA like domain containing 3	protein-coding	10.53	10.35
ENSG00000001497	LAS1L	LAS1 like ribosome biogenesis factor	protein-coding	39.95	35.66
ENSG00000001561	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4	protein-coding	0.01	0.04
ENSG00000001617	SEMA3F	semaphorin 3F	protein-coding	57.47	58.97
ENSG00000001626	CFTR	CF transmembrane conductance regulator	protein-coding	0	0
ENSG00000001629	ANKIB1	ankyrin repeat and IBR domain containing 1	protein-coding	13.15	12.49
ENSG00000001630	CYP51A1	cytochrome P450 family 51 subfamily A member 1	protein-coding	25.04	23.35
ENSG00000001631	KRIT1	KRIT1 ankyrin repeat containing	protein-coding	18.82	15.25
ENSG00000002016	RAD52	RAD52 homolog, DNA repair protein	protein-coding	8.04	12.39
ENSG00000002079	MYH16	myosin heavy chain 16 pseudogene	pseudo	0.55	0.22
ENSG00000002330	BAD	BCL2 associated agonist of cell death	protein-coding	86.82	86.16
ENSG00000002549	LAP3	leucine aminopeptidase 3	protein-coding	120.53	112.35
ENSG00000002586	CD99	CD99 molecule (Xg blood group)	protein-coding	221.86	218.06
ENSG00000002587	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1	protein-coding	0.08	0.13
ENSG00000002726	AOC1	amine oxidase copper containing 1	protein-coding	0	0
ENSG00000002745	WNT16	Wnt family member 16	protein-coding	0.06	0.02
ENSG00000002746	HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1	protein-coding	0	0
ENSG00000002822	MAD1L1	mitotic arrest deficient 1 like 1	protein-coding	24.69	27.7
ENSG00000002834	LASP1	LIM and SH3 protein 1	protein-coding	200.24	201.98
ENSG00000002919	SNX11	sorting nexin 11	protein-coding	15.4	15.3
ENSG00000002933	TMEM176A	transmembrane protein 176A	protein-coding	0	0
ENSG00000003056	M6PR	mannose-6-phosphate receptor, cation dependent	protein-coding	90.87	95.85
ENSG00000003096	KLHL13	kelch like family member 13	protein-coding	0	0
ENSG00000003137	CYP26B1	cytochrome P450 family 26 subfamily B member 1	protein-coding	1.19	1.08
ENSG00000003147	ICA1	islet cell autoantigen 1	protein-coding	2.22	2.77
ENSG00000003249	DBNDD1	dysbindin domain containing 1	protein-coding	31.96	30.38
ENSG00000003393	ALS2	alsin Rho guanine nucleotide exchange factor ALS2	protein-coding	18.88	20.35
ENSG00000003400	CASP10	caspase 10	protein-coding	7.8	9.59
ENSG00000003402	CFLAR	CASP8 and FADD like apoptosis regulator	protein-coding	32.53	38.39
ENSG00000003436	TFPI	tissue factor pathway inhibitor	protein-coding	166.81	158.99
ENSG00000003509	NDUFAF7	NADH:ubiquinone oxidoreductase complex assembly factor 7	protein-coding	11.84	14.62
ENSG00000003756	RBM5	RNA binding motif protein 5	protein-coding	72.51	82.43
ENSG00000003987	MTMR7	myotubularin related protein 7	protein-coding	1.02	1.58
ENSG00000003989	SLC7A2	solute carrier family 7 member 2	protein-coding	7.24	6.84
ENSG00000004059	ARF5	ADP ribosylation factor 5	protein-coding	258.85	229.15
ENSG00000004139	SARM1	sterile alpha and TIR motif containing 1	protein-coding	3.21	2.74
ENSG00000004142	POLDIP2	DNA polymerase delta interacting protein 2	protein-coding	82.1	88.18
ENSG00000004399	PLXND1	plexin D1	protein-coding	54	50.25
ENSG00000004455	AK2	adenylate kinase 2	protein-coding	132.27	125.94
ENSG00000004468	CD38	CD38 molecule	protein-coding	0.01	0
ENSG00000004478	FKBP4	FKBP prolyl isomerase 4	protein-coding	40.2	49.44
ENSG00000004487	KDM1A	lysine demethylase 1A	protein-coding	74.53	80.15
ENSG00000004534	RBM6	RNA binding motif protein 6	protein-coding	35.86	37.38
